Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,795.380005,803.010010,792.049988,803.010010,803.010010,2677900000
2020-08-03,803.010010,804.859985,760.469971,774.369995,774.369995,3070900000
2020-08-04,774.369995,789.900024,774.369995,789.900024,789.900024,2254500000
2020-08-05,789.900024,802.440002,786.059998,801.690002,801.690002,2628300000
2020-08-06,801.690002,813.799988,801.690002,811.590027,811.590027,2618300000
2020-08-07,811.590027,812.669983,799.909973,806.190002,806.190002,3097800000
2020-08-10,806.190002,809.099976,802.659973,806.900024,806.900024,1706100000
2020-08-11,806.900024,816.429993,806.900024,812.299988,812.299988,2586100000
2020-08-12,812.299988,826.780029,809.659973,825.219971,825.219971,3596100000
2020-08-13,825.219971,835.010010,821.159973,825.799988,825.799988,2403200000
2020-08-14,825.799988,828.919983,821.580017,827.219971,827.219971,2017900000
2020-08-18,827.219971,843.729980,826.549988,839.020020,839.020020,3405000000
2020-08-19,839.020020,846.890015,834.140015,834.840027,834.840027,2445800000
2020-08-24,834.840027,839.330017,830.330017,836.140015,836.140015,1964500000
2020-08-25,836.140015,851.840027,836.140015,850.989990,850.989990,2170700000
2020-08-26,850.989990,853.409973,845.799988,849.520020,849.520020,1791700000
2020-08-27,849.520020,854.789978,843.859985,852.669983,852.669983,1828300000
2020-08-28,852.669983,854.729980,843.260010,847.750000,847.750000,1927200000
2020-08-31,847.750000,852.520020,822.530029,824.190002,824.190002,3067800000
2020-09-01,824.190002,841.250000,820.190002,841.250000,841.250000,1835300000
2020-09-02,841.250000,847.710022,837.940002,843.169983,843.169983,1706300000
2020-09-03,843.169983,846.820007,827.950012,834.739990,834.739990,1770200000
2020-09-04,834.739990,834.739990,815.260010,825.619995,825.619995,1555100000
2020-09-07,824.789978,826.919983,816.159973,823.989990,823.989990,1302700000
2020-09-08,824.789978,828.679993,824.789978,826.070007,826.070007,1269800000
2020-09-09,818.469971,818.469971,802.590027,804.349976,804.349976,1950900000
2020-09-10,785.640015,785.690002,756.119995,756.119995,756.119995,2773800000
2020-09-11,730.919983,780.530029,727.919983,778.320007,778.320007,3450100000
2020-09-14,789.409973,805.119995,789.309998,805.119995,805.119995,2223100000
2020-09-15,807.210022,809.770020,788.090027,790.750000,790.750000,1748500000
2020-09-16,792.739990,794.229980,780.270020,781.369995,781.369995,1249700000
2020-09-17,781.369995,788.309998,770.669983,775.539978,775.539978,1327900000
2020-09-18,775.760010,781.869995,770.840027,780.320007,780.320007,2822800000
2020-09-21,780.169983,781.989990,765.250000,767.969971,767.969971,1587800000
2020-09-22,754.270020,765.320007,751.510010,756.380005,756.380005,1435300000
2020-09-23,759.599976,765.729980,745.090027,754.179993,754.179993,1502200000
2020-09-24,743.440002,750.450012,735.880005,740.000000,740.000000,1450200000
2020-09-25,745.609985,761.239990,740.559998,760.320007,760.320007,1601700000
2020-09-28,765.099976,769.900024,750.000000,750.000000,750.000000,1449600000
2020-09-29,756.099976,759.280029,739.369995,742.380005,742.380005,1440400000
2020-09-30,745.919983,747.940002,731.510010,737.150024,737.150024,1470900000
2020-10-01,745.169983,761.049988,744.960022,761.049988,761.049988,1451500000
2020-10-02,761.440002,761.539978,741.510010,750.859985,750.859985,1561000000
2020-10-05,756.020020,758.289978,748.000000,755.090027,755.090027,1003800000
2020-10-06,766.770020,769.619995,763.260010,764.159973,764.159973,1551500000
2020-10-07,758.440002,766.000000,755.789978,764.090027,764.090027,1421000000
2020-10-08,767.900024,770.450012,762.429993,770.450012,770.450012,1592800000
2020-10-09,769.820007,773.130005,767.650024,771.770020,771.770020,1453900000
2020-10-12,777.679993,779.960022,775.609985,777.299988,777.299988,1843400000
2020-10-13,777.309998,783.979980,769.280029,783.549988,783.549988,1958300000
2020-10-14,784.270020,796.799988,781.950012,796.280029,796.280029,3377800000
2020-10-15,795.349976,796.739990,782.520020,782.880005,782.880005,3172000000
2020-10-16,784.799988,786.210022,775.059998,783.450012,783.450012,1924400000
2020-10-19,787.580017,790.450012,782.140015,790.450012,790.450012,2914900000
2020-10-20,789.539978,791.960022,782.450012,786.440002,786.440002,2340500000
2020-10-21,790.950012,793.789978,785.229980,787.200012,787.200012,2778600000
2020-10-22,783.989990,789.559998,780.109985,788.559998,788.559998,2329700000
2020-10-23,794.150024,794.359985,786.020020,789.820007,789.820007,2359500000
2020-10-26,790.450012,798.479980,789.469971,794.210022,794.210022,1939500000
2020-10-27,791.090027,797.599976,787.789978,790.500000,790.500000,1931800000
2020-11-02,784.609985,791.500000,777.539978,788.599976,788.599976,2359600000
2020-11-03,793.010010,795.090027,789.510010,794.770020,794.770020,2090500000
2020-11-04,797.940002,800.940002,781.130005,781.130005,781.130005,1959800000
2020-11-05,795.710022,816.479980,794.340027,816.159973,816.159973,2580300000
2020-11-06,820.559998,835.609985,812.799988,834.900024,834.900024,2776100000
2020-11-09,845.539978,848.479980,830.780029,840.510010,840.510010,3423400000
2020-11-10,858.599976,865.530029,853.010010,863.969971,863.969971,4547600000
2020-11-11,869.409973,880.849976,867.369995,880.020020,880.020020,4886900000
2020-11-12,876.169983,876.700012,864.159973,866.690002,866.690002,2191400000
2020-11-13,863.570007,869.309998,859.239990,867.200012,867.200012,1895200000
2020-11-16,876.909973,880.940002,867.049988,873.440002,873.440002,2477000000
2020-11-17,879.599976,888.239990,876.840027,881.809998,881.809998,3569800000
2020-11-18,881.820007,889.570007,881.820007,885.650024,885.650024,3407200000
2020-11-19,880.900024,892.679993,879.359985,887.119995,887.119995,2913900000
2020-11-20,889.289978,894.859985,881.989990,884.900024,884.900024,2420400000
2020-11-23,887.349976,902.210022,887.349976,901.659973,901.659973,2736700000
2020-11-24,908.539978,910.809998,902.099976,907.880005,907.880005,3095000000
2020-11-25,917.549988,922.830017,903.359985,903.460022,903.460022,3414800000
2020-11-26,900.960022,920.780029,900.960022,920.780029,920.780029,2797600000
2020-11-27,924.659973,926.369995,916.989990,920.109985,920.109985,3348100000
2020-11-30,918.940002,921.260010,872.239990,883.059998,883.059998,9807000000
2020-12-01,890.150024,908.570007,879.500000,904.830017,904.830017,3464800000
2020-12-02,912.679993,922.359985,905.940002,922.359985,922.359985,3729900000
2020-12-03,927.289978,929.719971,917.159973,921.179993,921.179993,3310800000
2020-12-04,920.289978,920.500000,910.440002,916.250000,916.250000,2309600000
2020-12-07,927.900024,938.270020,927.020020,936.320007,936.320007,2837300000
2020-12-08,939.179993,940.059998,927.799988,933.280029,933.280029,3745500000
2020-12-10,940.840027,943.669983,928.030029,932.330017,932.330017,4322200000
2020-12-11,937.950012,942.150024,928.989990,929.940002,929.940002,3201300000
2020-12-14,935.229980,942.080017,932.609985,941.179993,941.179993,3323100000
2020-12-15,946.729980,946.729980,946.729980,946.729980,946.729980,0
2020-12-16,956.369995,972.130005,956.369995,970.059998,970.059998,5753800000
2020-12-17,974.039978,977.210022,961.770020,968.690002,968.690002,4450300000
2020-12-18,966.200012,969.219971,960.549988,962.359985,962.359985,4438700000
2020-12-21,969.539978,977.380005,961.359985,970.989990,970.989990,4156300000
2020-12-22,966.229980,969.739990,936.900024,938.979980,938.979980,3916400000
2020-12-23,947.820007,955.900024,908.710022,936.799988,936.799988,3816200000
2020-12-28,953.059998,957.880005,932.010010,955.900024,955.900024,2986500000
2020-12-29,961.729980,965.520020,943.159973,945.590027,945.590027,2740900000
2020-12-30,949.190002,949.320007,934.219971,934.890015,934.890015,2641700000
2021-01-04,939.010010,959.710022,926.409973,958.650024,958.650024,3467900000
2021-01-05,958.840027,963.609985,950.820007,961.390015,961.390015,3653400000
2021-01-06,962.099976,964.669983,930.559998,945.679993,945.679993,3055500000
2021-01-07,952.479980,959.919983,950.650024,957.309998,957.309998,4361200000
2021-01-08,967.429993,982.900024,964.450012,979.309998,979.309998,4123300000
2021-01-11,984.330017,1001.900024,984.000000,1001.020020,1001.020020,4044100000
2021-01-12,996.440002,996.440002,996.440002,996.440002,996.440002,0
2021-01-13,1008.150024,1010.630005,994.609985,1002.890015,1002.890015,4036400000
2021-01-14,1006.849976,1010.299988,997.159973,1002.380005,1002.380005,4820200000
2021-01-15,1006.900024,1010.489990,982.299988,988.750000,988.750000,3925900000
2021-01-18,986.530029,1002.539978,979.109985,998.260010,998.260010,4066600000
2021-01-19,989.049988,989.049988,989.049988,989.049988,989.049988,0
2021-01-20,991.919983,1017.190002,988.409973,1014.859985,1014.859985,4194100000
2021-01-21,1026.319946,1030.109985,1008.349976,1011.210022,1011.210022,3600400000
2021-01-22,1012.359985,1013.940002,989.080017,991.580017,991.580017,3449600000
2021-01-25,994.770020,994.960022,965.460022,987.950012,987.950012,3351200000
2021-01-26,986.830017,990.250000,965.239990,966.880005,966.880005,3265300000
2021-01-27,970.640015,972.080017,943.219971,963.140015,963.140015,4168200000
2021-01-28,950.289978,966.190002,935.330017,940.520020,940.520020,3380400000
2021-01-29,949.059998,959.369995,907.109985,911.979980,911.979980,3499600000
2021-02-01,910.460022,950.489990,885.929993,947.299988,947.299988,5411700000
2021-02-02,938.710022,938.710022,938.710022,938.710022,938.710022,0
2021-02-03,951.239990,956.380005,940.030029,940.859985,940.859985,3418500000
2021-02-04,949.659973,964.150024,942.840027,949.299988,949.299988,2836200000
2021-02-05,957.309998,958.059998,944.909973,953.580017,953.580017,2740600000
2021-02-08,964.239990,966.929993,956.440002,957.559998,957.559998,3002400000
2021-02-09,962.909973,972.270020,948.380005,950.330017,950.330017,3451600000
2021-02-10,954.109985,957.390015,947.650024,953.030029,953.030029,3070200000
2021-02-11,958.289978,959.219971,950.239990,953.559998,953.559998,1919500000
2021-02-15,959.320007,959.320007,959.320007,959.320007,959.320007,0
2021-02-16,964.000000,965.140015,957.039978,959.890015,959.890015,2062900000
2021-02-17,960.510010,961.570007,943.880005,946.669983,946.669983,2412300000
2021-02-18,947.909973,956.940002,940.679993,940.679993,940.679993,2288300000
2021-02-19,939.210022,951.849976,939.010010,951.849976,951.849976,2181500000
2021-02-22,951.239990,951.239990,951.239990,951.239990,951.239990,0
2021-02-23,959.210022,959.210022,959.210022,959.210022,959.210022,0
2021-02-24,962.239990,965.539978,949.929993,950.719971,950.719971,2425000000
2021-02-25,952.539978,952.539978,952.539978,952.539978,952.539978,0
2021-02-26,940.469971,952.729980,936.099976,944.750000,944.750000,4343600000
2021-03-01,955.630005,967.719971,950.549988,967.719971,967.719971,2712000000
2021-03-02,974.940002,977.179993,965.000000,967.659973,967.659973,2338800000
2021-03-03,968.219971,968.219971,968.219971,968.219971,968.219971,0
2021-03-04,948.469971,948.469971,948.469971,948.469971,948.469971,0
2021-03-05,940.979980,949.090027,938.070007,941.359985,941.359985,2386600000
2021-03-08,952.440002,953.880005,939.030029,940.239990,940.239990,1853700000
2021-03-09,927.849976,927.849976,927.849976,927.849976,927.849976,0
2021-03-10,936.520020,940.900024,930.039978,939.200012,939.200012,1680600000
2021-03-12,952.429993,954.289978,943.890015,950.830017,950.830017,2371400000
2021-03-15,954.780029,956.369995,943.090027,943.090027,943.090027,1639600000
2021-03-16,949.340027,951.260010,941.530029,943.109985,943.109985,1487500000
2021-03-17,945.599976,946.359985,937.340027,939.630005,939.630005,1416700000
2021-03-18,948.530029,959.270020,947.590027,956.840027,956.840027,1612500000
2021-03-19,955.710022,957.739990,947.780029,957.739990,957.739990,2348100000
2021-03-22,956.340027,957.179993,943.179993,944.280029,944.280029,1420400000
2021-03-23,952.080017,953.299988,938.520020,940.520020,940.520020,1444000000
2021-03-24,935.609985,936.900024,924.880005,925.960022,925.960022,1526700000
2021-03-25,927.599976,931.510010,914.940002,924.669983,924.669983,1474900000
2021-03-26,929.690002,938.960022,921.989990,938.830017,938.830017,1860400000
2021-03-29,941.340027,945.770020,933.349976,933.530029,933.530029,1571300000
2021-03-30,932.130005,934.479980,913.950012,916.880005,916.880005,1611200000
2021-03-31,914.140015,915.299988,886.270020,902.789978,902.789978,2338400000
2021-04-01,903.070007,907.500000,896.159973,901.859985,901.859985,1487600000
2021-04-05,910.070007,911.000000,895.679993,895.679993,895.679993,1229100000
2021-04-06,896.619995,901.729980,890.830017,900.020020,900.020020,1416300000
2021-04-07,903.000000,905.190002,894.919983,904.130005,904.130005,1269900000
2021-04-08,903.969971,908.380005,901.489990,906.619995,906.619995,1638400000
2021-04-09,913.400024,915.840027,906.489990,906.489990,906.489990,1535300000
2021-04-12,908.349976,909.010010,881.559998,882.809998,882.809998,1612300000
2021-04-13,881.710022,886.219971,873.289978,881.690002,881.690002,1755900000
2021-04-14,891.650024,905.599976,887.440002,904.880005,904.880005,1901300000
2021-04-15,906.919983,908.440002,897.330017,908.440002,908.440002,1445000000
2021-04-16,914.400024,914.849976,903.070007,907.669983,907.669983,1838400000
2021-04-19,907.080017,908.489990,898.830017,903.150024,903.150024,1352500000
2021-04-20,897.030029,902.559998,894.299988,902.559998,902.559998,1241900000
2021-04-21,895.070007,900.419983,892.789978,892.789978,892.789978,1171800000
2021-04-22,896.020020,899.700012,892.599976,893.960022,893.960022,1298800000
2021-04-23,895.150024,904.559998,891.559998,902.739990,902.739990,1282200000
2021-04-26,902.669983,904.669983,890.460022,892.179993,892.179993,1568300000
2021-04-27,897.219971,900.280029,888.750000,891.349976,891.349976,1611100000
2021-04-28,890.919983,895.590027,889.190002,890.900024,890.900024,1415900000
2021-04-29,898.260010,899.500000,893.099976,897.809998,897.809998,1679800000
2021-04-30,901.349976,902.710022,891.729980,893.729980,893.729980,1681900000
2021-05-03,894.070007,895.229980,882.429993,884.340027,884.340027,1403100000
2021-05-04,885.520020,889.429993,881.960022,888.919983,888.919983,1460200000
2021-05-05,891.849976,893.320007,888.770020,890.419983,890.419983,1481000000
2021-05-06,894.020020,897.109985,885.200012,888.950012,888.950012,1426400000
2021-05-07,893.609985,894.130005,879.880005,880.719971,880.719971,1362000000
2021-05-10,884.340027,891.820007,883.359985,888.500000,888.500000,1502400000
2021-05-11,886.130005,886.330017,877.080017,882.929993,882.929993,1335700000
2021-05-17,886.289978,887.090027,866.309998,869.489990,869.489990,1925400000
2021-05-18,870.400024,873.330017,861.219971,868.390015,868.390015,1467700000
2021-05-19,863.359985,865.770020,852.130005,854.760010,854.760010,1262400000
2021-05-20,854.030029,865.929993,852.440002,862.530029,862.530029,1878200000
2021-05-21,868.960022,870.460022,852.729980,858.330017,858.330017,1490200000
2021-05-24,863.760010,865.030029,857.320007,858.609985,858.609985,1437700000
2021-05-25,861.390015,872.619995,860.090027,864.929993,864.929993,1897500000
2021-05-27,874.030029,880.609985,863.750000,863.750000,863.750000,4421300000
2021-05-28,872.489990,875.059998,866.570007,866.669983,866.669983,1594700000
2021-05-31,872.169983,889.969971,870.890015,888.650024,888.650024,1926300000
2021-06-02,902.820007,905.250000,897.119995,904.239990,904.239990,2606800000
2021-06-03,905.960022,919.109985,898.210022,919.109985,919.109985,1863300000
2021-06-04,918.849976,918.869995,903.979980,909.489990,909.489990,1526700000
2021-06-07,912.609985,914.010010,900.580017,906.489990,906.489990,1452300000
2021-06-08,908.270020,908.280029,892.479980,894.840027,894.840027,1563400000
2021-06-09,886.719971,899.039978,886.320007,898.909973,898.909973,1617400000
2021-06-10,902.369995,906.530029,898.950012,905.419983,905.419983,1867100000
2021-06-11,908.840027,909.900024,900.190002,901.640015,901.640015,2537400000
2021-06-14,905.859985,906.099976,893.840027,895.890015,895.890015,1687100000
2021-06-15,897.140015,897.690002,889.510010,895.200012,895.200012,1785100000
2021-06-16,890.059998,891.609985,883.150024,885.109985,885.109985,2050600000
2021-06-17,880.710022,883.619995,874.940002,877.520020,877.520020,1906700000
2021-06-18,876.869995,877.440002,856.530029,863.159973,863.159973,2994000000
2021-06-21,849.950012,864.909973,840.150024,858.940002,858.940002,2219400000
2021-06-22,861.770020,874.969971,858.510010,868.469971,868.469971,1644400000
2021-06-23,871.210022,874.289978,859.609985,859.609985,859.609985,1350900000
2021-06-24,863.820007,864.210022,854.270020,854.700012,854.700012,1113500000
2021-06-25,858.580017,861.000000,853.849976,853.849976,853.849976,1256900000
2021-06-28,852.169983,854.250000,835.500000,835.500000,835.500000,1386500000
2021-06-29,836.359985,846.219971,835.880005,839.000000,839.000000,1510900000
2021-06-30,839.760010,849.530029,839.760010,844.849976,844.849976,1658000000
2021-07-01,848.900024,853.309998,840.780029,847.119995,847.119995,1315400000
2021-07-02,851.140015,855.780029,848.010010,851.520020,851.520020,1203700000
2021-07-05,851.719971,852.719971,839.789978,842.900024,842.900024,1164200000
2021-07-06,846.429993,850.159973,844.250000,846.960022,846.960022,1835400000
2021-07-07,850.940002,851.369995,838.289978,841.859985,841.859985,1334700000
2021-07-08,845.210022,847.190002,836.219971,839.919983,839.919983,1490800000
2021-07-09,839.900024,842.580017,837.369995,840.340027,840.340027,1295000000
2021-07-12,845.510010,848.559998,842.239990,844.400024,844.400024,1339700000
2021-07-13,849.210022,850.239990,833.830017,835.729980,835.729980,1474300000
2021-07-14,834.780029,836.200012,824.200012,827.799988,827.799988,1388900000
2021-07-15,830.969971,841.440002,829.539978,841.200012,841.200012,1296900000
2021-07-16,845.500000,847.530029,842.200012,847.150024,847.150024,1297300000
2021-07-19,845.070007,846.119995,837.700012,837.929993,837.929993,1125300000
